Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
QC,Crops,170,Peru,5510,Production,92,Quinoa,1982,1982,tonnes,17028,,Official data
QC,Crops,170,Peru,5510,Production,92,Quinoa,1983,1983,tonnes,8638,,Official data
QC,Crops,170,Peru,5510,Production,92,Quinoa,1984,1984,tonnes,14203,,Official data
QC,Crops,170,Peru,5510,Production,92,Quinoa,1985,1985,tonnes,8014,,Official data
QC,Crops,170,Peru,5510,Production,92,Quinoa,1986,1986,tonnes,10004,,Official data
QC,Crops,170,Peru,5510,Production,92,Quinoa,1987,1987,tonnes,9921,,Official data
QC,Crops,170,Peru,5510,Production,92,Quinoa,1988,1988,tonnes,16284,,Official data
QC,Crops,170,Peru,5510,Production,92,Quinoa,1989,1989,tonnes,15753,,Official data
QC,Crops,170,Peru,5510,Production,92,Quinoa,1990,1990,tonnes,6260,,Official data
QC,Crops,170,Peru,5510,Production,92,Quinoa,1991,1991,tonnes,18266,,Official data
QC,Crops,170,Peru,5510,Production,92,Quinoa,1992,1992,tonnes,4961,,Official data
QC,Crops,170,Peru,5510,Production,92,Quinoa,1993,1993,tonnes,17157,,Official data
QC,Crops,170,Peru,5510,Production,92,Quinoa,1994,1994,tonnes,16629,,Official data
QC,Crops,170,Peru,5510,Production,92,Quinoa,1995,1995,tonnes,13773,,Official data
QC,Crops,170,Peru,5510,Production,92,Quinoa,1996,1996,tonnes,16070,,Official data
QC,Crops,170,Peru,5510,Production,92,Quinoa,1997,1997,tonnes,23688,,Official data
QC,Crops,170,Peru,5510,Production,92,Quinoa,1998,1998,tonnes,28171,,Official data
QC,Crops,170,Peru,5510,Production,92,Quinoa,1999,1999,tonnes,28413,,Official data
QC,Crops,170,Peru,5510,Production,92,Quinoa,2000,2000,tonnes,28191,,Official data
QC,Crops,170,Peru,5510,Production,92,Quinoa,2001,2001,tonnes,22267,,Official data
QC,Crops,170,Peru,5510,Production,92,Quinoa,2002,2002,tonnes,30373,,Official data
QC,Crops,170,Peru,5510,Production,92,Quinoa,2003,2003,tonnes,30085,,Official data
QC,Crops,170,Peru,5510,Production,92,Quinoa,2004,2004,tonnes,26997,,Official data
QC,Crops,170,Peru,5510,Production,92,Quinoa,2005,2005,tonnes,32590,,Official data
QC,Crops,170,Peru,5510,Production,92,Quinoa,2006,2006,tonnes,30429,,Official data
QC,Crops,170,Peru,5510,Production,92,Quinoa,2007,2007,tonnes,31824,,Official data
QC,Crops,170,Peru,5510,Production,92,Quinoa,2008,2008,tonnes,29867,,Official data
QC,Crops,170,Peru,5510,Production,92,Quinoa,2009,2009,tonnes,39397,,Official data
QC,Crops,170,Peru,5510,Production,92,Quinoa,2010,2010,tonnes,41079,,Official data
QC,Crops,170,Peru,5510,Production,92,Quinoa,2011,2011,tonnes,41182,,Official data
QC,Crops,170,Peru,5510,Production,92,Quinoa,2012,2012,tonnes,44213,,Official data
QC,Crops,170,Peru,5510,Production,92,Quinoa,2013,2013,tonnes,52129,,Official data
QC,Crops,170,Peru,5510,Production,92,Quinoa,2014,2014,tonnes,114725,,Official data
